id,name,link,wikipedia
1,J. K. Rowling,http://amzn.to/2lt95EP,
2,Jean Georges Perrin,http://amzn.to/2wNFkki,https://en.wikipedia.org/wiki/Jean_Georges_Perrin
4,Denis Diderot,http://amzn.to/2i2uWlw,
3,Mark Twain,http://amzn.to/2vZcvnx,https://en.wikipedia.org/wiki/Mark_Twain
5,Stephen King,http://amzn.to/2vGcjXz
6,Craig Walls,http://amzn.to/2A2DwZQ
7,John Sonmez,http://amzn.to/2hw8BK9
8,John Steinbeck,http://amzn.to/2AMPOm1
9,Raoul-Gabriel Urma,http://amzn.to/2AU0641
10,Mario Fusco,http://amzn.to/2AVmYjv
11,Alan Mycroft,http://amzn.to/2AWIN2i
12,William Shakespeare,http://amzn.to/2j4YSdQ
13,Blaise Pascal,http://amzn.to/2zLrd37
14,Jean de La Fontaine,http://amzn.to/2AWfUDm
15,René Descartes,http://amzn.to/2jC9GEB